CustomerId,Gender,Age,Geo_loc,CreditScore,EstimatedSalary,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
15592531,Male,50,France,822,10062.8,0,2,Yes,7,Yes,0
15724944,Male,34,France,663,180427.24,0,2,Yes,7,Yes,0
15598493,Male,50,France,656,72143.44,0,2,Yes,7,Yes,0
15747542,Male,52,France,605,173952.5,0,2,Yes,7,Yes,0
15721935,Male,25,France,521,157878.67,0,2,Yes,7,Yes,0
15792360,Male,32,France,668,777.37,0,2,Yes,7,Yes,0
15663921,Male,60,France,429,163691.48,0,2,Yes,7,Yes,0
15585041,Male,33,France,511,158313.87,0,2,Yes,7,Yes,0
15763747,Male,36,France,732,60830.24,0,2,Yes,7,Yes,0
15699450,Male,48,France,723,150694.58,0,2,Yes,7,Yes,0
15597265,Male,38,France,660,146585.53,0,2,Yes,7,Yes,0
15741049,Male,29,France,577,55473.15,0,2,Yes,7,Yes,0
15581654,Male,32,France,798,37731.95,0,2,Yes,7,Yes,0
15779529,Male,32,France,620,34665.79,0,2,Yes,7,Yes,0
15609637,Male,51,France,652,43496.36,0,2,Yes,7,Yes,0
15632324,Male,59,France,602,162347.05,0,2,Yes,7,Yes,0
15602124,Male,30,France,731,184581.68,0,2,Yes,7,Yes,0
15777855,Male,45,France,649,75204.21,0,2,Yes,7,Yes,0
15632859,Male,36,France,444,138743.86,0,2,Yes,7,Yes,0
15725478,Male,60,France,775,111558.7,0,2,Yes,7,Yes,0
15808831,Male,29,France,669,138145.62,0,2,Yes,7,Yes,0
15680370,Male,39,France,492,71323.23,0,2,Yes,7,Yes,0
15760090,Male,28,France,640,131097.9,0,2,Yes,7,Yes,0
15702337,Male,37,France,581,74320.75,0,2,Yes,7,Yes,0
15589435,Male,31,France,784,143204.41,0,2,Yes,7,Yes,0
15569120,Male,30,France,615,156346.84,0,2,Yes,7,Yes,0
15586300,Male,66,France,615,74580.8,0,2,Yes,7,Yes,0
